SEASON;Home;Away;HOME_TEAM;AWAY_TEAM;STADIUM;ATTENDANCE;HOME_TEAM_SCORE;AWAY_TEAM_SCORE;Status
2021-2022;1000000000;498950000;Manchester City;RB Leipzig;Etihad Stadium;38062;6;3;Galibiyet
2021-2022;200500000;889550000;Club Brugge KV;Paris Saint-Germain;Jan Breydel Stadion;27546;1;1;Beraberlik
2021-2022;889550000;1000000000;Paris Saint-Germain;Manchester City;Parc des Princes;37350;2;0;Galibiyet
2021-2022;498950000;200500000;RB Leipzig;Club Brugge KV;Red Bull Arena;23500;1;2;Mağlubiyet
2021-2022;200500000;1000000000;Club Brugge KV;Manchester City;Jan Breydel Stadion;24915;1;5;Mağlubiyet
2021-2022;889550000;498950000;Paris Saint-Germain;RB Leipzig;Parc des Princes;47359;3;2;Galibiyet
2021-2022;498950000;889550000;RB Leipzig;Paris Saint-Germain;Red Bull Arena;39794;2;2;Beraberlik
2021-2022;1000000000;200500000;Manchester City;Club Brugge KV;Etihad Stadium;50228;4;1;Galibiyet
2021-2022;1000000000;889550000;Manchester City;Paris Saint-Germain;Etihad Stadium;52030;2;1;Galibiyet
2021-2022;200500000;498950000;Club Brugge KV;RB Leipzig;Jan Breydel Stadion;24072;0;5;Mağlubiyet
2021-2022;498950000;1000000000;RB Leipzig;Manchester City;Red Bull Arena;0;2;1;Galibiyet
2021-2022;889550000;200500000;Paris Saint-Germain;Club Brugge KV;Parc des Princes;47492;4;1;Galibiyet
2021-2022;661800000;403580000;Atlético Madrid;FC Porto;Wanda Metropolitano;40098;0;0;Beraberlik
2021-2022;918900000;546950000;Liverpool FC;AC Milan;Anfield;51445;3;2;Galibiyet
2021-2022;403580000;918900000;FC Porto;Liverpool FC;Estádio do Dragão;23520;1;5;Mağlubiyet
2021-2022;546950000;661800000;AC Milan;Atlético Madrid;Giuseppe Meazza;35374;1;2;Mağlubiyet
2021-2022;661800000;918900000;Atlético Madrid;Liverpool FC;Wanda Metropolitano;60725;2;3;Mağlubiyet
2021-2022;403580000;546950000;FC Porto;AC Milan;Estádio do Dragão;32130;1;0;Galibiyet
2021-2022;546950000;403580000;AC Milan;FC Porto;Giuseppe Meazza;39675;1;1;Beraberlik
2021-2022;918900000;661800000;Liverpool FC;Atlético Madrid;Anfield;51347;2;0;Galibiyet
